Job Code,Grade,Salary,Original Hire Date,Run Date,Tenure
11770,2,40934.4,3/21/2022,6/1/2024,803
11790,2,40518.4,3/28/2022,6/1/2024,796
11820,2,43430.4,3/28/2022,6/1/2024,796
11770,2,42702.4,4/4/2022,6/1/2024,789
11700,3,46072,4/4/2022,6/1/2024,789
11770,2,43347.2,4/4/2022,6/1/2024,789
11790,2,42619.2,4/4/2022,6/1/2024,789
11700,3,42328,4/11/2022,6/1/2024,782
11790,2,42889.6,4/18/2022,6/1/2024,775
11600,1,37502.4,4/25/2022,6/1/2024,768
11570,2,44844.8,4/25/2022,6/1/2024,768
11700,3,42619.2,5/2/2022,6/1/2024,761
16730,6,60840,5/2/2022,6/1/2024,761
11700,3,47132.8,5/9/2022,6/1/2024,754
11700,3,45926.4,5/9/2022,6/1/2024,754
12020,2,41558.4,5/16/2022,6/1/2024,747
11790,2,40227.2,5/16/2022,6/1/2024,747
11700,3,48380.8,5/16/2022,6/1/2024,747
16720,4,46280,5/23/2022,6/1/2024,740
11710,2,41932.8,6/6/2022,6/1/2024,726
11770,2,42140.8,6/13/2022,6/1/2024,719
11700,3,44844.8,6/6/2022,6/1/2024,726
11770,2,42702.4,6/13/2022,6/1/2024,719
11790,2,40892.8,6/20/2022,6/1/2024,712
11790,2,43430.4,6/27/2022,6/1/2024,705
11790,2,39228.8,6/27/2022,6/1/2024,705
11600,1,36004.8,7/11/2022,6/1/2024,691
11700,3,44012.8,7/11/2022,6/1/2024,691
11790,2,43846.4,7/11/2022,6/1/2024,691
11770,2,41288,7/11/2022,6/1/2024,691
11770,2,40622.4,7/18/2022,6/1/2024,684
11780,3,42390.4,7/11/2022,6/1/2024,691
11600,1,35713.6,7/18/2022,6/1/2024,684
11790,2,41204.8,7/18/2022,6/1/2024,684
11700,3,43451.2,7/18/2022,6/1/2024,684
12430,4,48256,7/18/2022,6/1/2024,684
11730,1,41288,7/25/2022,6/1/2024,677
11770,2,40622.4,7/25/2022,6/1/2024,677
11770,2,39520,8/8/2022,6/1/2024,663
11700,3,42827.2,8/15/2022,6/1/2024,656
11600,1,37502.4,8/15/2022,6/1/2024,656
11790,2,43430.4,8/15/2022,6/1/2024,656
